data 2020-11-18 17:04:08 , accessi 178 , mappa:  177 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 17:05:04 , accessi 179 , mappa:  177 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 18:01:50 , accessi 180 , mappa:  177 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 18:04:43 , accessi 180 , mappa:  178 , grafico:  112 , downdati:  112 , downgrafico:  112
data 2020-11-18 18:06:16 , accessi 180 , mappa:  178 , grafico:  113 , downdati:  112 , downgrafico:  112
data 2020-11-18 18:06:16 , accessi 180 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  112
data 2020-11-18 18:06:16 , accessi 180 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-18 20:56:22 , accessi 181 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-18 20:57:51 , accessi 182 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-19 19:00:01 , accessi 183 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-19 22:37:21 , accessi 184 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-20 07:31:07 , accessi 185 , mappa:  178 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-20 07:32:12 , accessi 185 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-20 18:24:23 , accessi 186 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-23 16:40:21 , accessi 187 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 08:38:49 , accessi 188 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 08:39:32 , accessi 189 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 08:39:43 , accessi 190 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 09:05:07 , accessi 191 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 10:49:57 , accessi 192 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 11:11:56 , accessi 194 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 11:13:33 , accessi 195 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 11:39:51 , accessi 196 , mappa:  179 , grafico:  113 , downdati:  113 , downgrafico:  113
data 2020-11-30 11:43:54 , accessi 196 , mappa:  180 , grafico:  113 , downdati:  113 , downgrafico:  113
